Year,Month,Day,Temperature_Max,Temperature_Avg,Temperature_Min,Dew_Point_Max,Dew_Point_Avg,Dew_Point_Min,Humidity_Max,Humidity_Avg,Humidity_Min,Wind_Speed_Max,Wind_Speed_Avg,Wind_Speed_Min,Pressure_Max,Pressure_Avg,Pressure_Min,Total
2010,1,1,63,61.9,61,61,61.0,61,100,97.4,94,10,7.8,2,30.0,29.9,29.9,0.00
2010,1,2,64,62.3,61,61,60.0,59,100,92.5,88,8,5.8,0,30.0,30.0,29.9,0.00
2010,1,3,72,67.2,63,63,60.7,59,94,79.8,64,8,5.3,0,30.1,30.0,29.9,0.00
2010,1,4,72,67.5,64,66,63.8,61,94,87.7,78,10,7.3,5,29.9,29.8,29.8,0.00
2010,1,5,81,72.3,68,70,67.6,66,100,85.9,61,12,6.9,3,29.9,29.8,29.8,0.00
2010,1,6,73,67.9,64,72,55.9,0,100,73.5,0,20,9.3,1,30.0,29.9,29.9,0.00
2010,1,7,64,60.7,55,59,54.6,0,100,83.0,0,13,9.9,6,30.2,30.1,30.0,0.00
2010,1,8,66,60.8,55,54,49.8,46,94,68.2,49,9,5.5,1,30.2,30.1,30.0,0.00
2010,1,9,64,61.9,55,63,58.1,54,94,87.3,77,12,6.3,1,30.0,29.9,29.8,0.00
2010,1,10,75,66.8,63,64,62.8,59,100,87.3,69,14,6.5,0,29.9,29.9,29.8,0.00
2010,1,11,64,62.5,61,59,54.4,50,94,75.4,68,15,11.7,8,30.1,30.0,29.9,0.00
2010,1,12,61,58.3,57,50,44.0,39,72,59.7,45,15,8.2,0,30.3,30.2,30.1,0.00
2010,1,13,61,58.0,55,45,39.6,34,67,51.0,36,12,5.3,2,30.3,30.3,30.2,0.00
2010,1,14,63,58.5,55,46,40.5,36,72,52.0,37,7,4.7,0,30.3,30.3,30.2,0.00
2010,1,15,66,58.7,0,59,50.3,0,100,72.5,0,16,6.8,1,30.3,29.5,0.0,0.00
2010,1,16,66,61.5,57,57,53.3,48,100,76.0,52,12,5.8,0,30.3,30.3,30.2,0.00
2010,1,17,72,65.3,59,57,55.2,54,94,71.0,53,7,2.8,0,30.3,30.2,30.2,0.00
2010,1,18,75,63.9,55,59,55.9,54,100,77.9,47,8,5.2,0,30.3,30.2,30.1,0.00
2010,1,19,77,65.6,55,64,58.5,54,100,79.8,50,9,5.2,0,30.1,29.4,0.0,0.00
2010,1,20,72,68.5,66,66,63.1,0,94,85.7,0,7,2.7,0,30.1,30.0,30.0,0.00
